['1', '1.11111111111111', '1.31578947368421', '1.0989010989011', '0.961538461538461', '0.467289719626168', '0.189753320683112']
['1.0752688172043', '0.99009900990099', '1.47058823529412', '0.671140939597315', '0.602409638554217', '0.420168067226891', '0.174216027874564']
['1.14942528735632', '1.02040816326531', '1.14942528735632', '1.33333333333333', '1.69491525423729', '4.54545454545455', '5.55555555555556']
['0.75187969924812', '0.746268656716418', '0.925925925925926', '1.0752688172043', '1.85185185185185', '7.69230769230769', '1.96078431372549']
['0.869565217391304', '0.793650793650794', '0.909090909090909', '0.609756097560976', '0.72463768115942', '0.222222222222222', '0.161030595813205']
['0.91743119266055', '0.970873786407767', '1.58730158730159', '1.25', '0.8', '2.7027027027027', '8.33333333333333']
['1.08695652173913', '1.14942528735632', '1.05263157894737', '0.75187969924812', '0.50251256281407', '0.34965034965035', '0.17921146953405']
['1.25', '1.40845070422535', '1.26582278481013', '0.813008130081301', '0.91743119266055', '0.336700336700337', '0.232558139534884']
['0.900900900900901', '1.14942528735632', '1', '0.757575757575758', '0.520833333333333', '1.25', '6.25']
['1.23456790123457', '1.06382978723404', '1.20481927710843', '0.862068965517241', '0.884955752212389', '0.386100386100386', '0.197628458498024']
['1.35135135135135', '0.934579439252336', '1.20481927710843', '0.934579439252336', '0.793650793650794', '0.324675324675325', '0.20703933747412']
['1.20481927710843', '0.99009900990099', '0.854700854700855', '0.520833333333333', '0.423728813559322', '0.199203187250996', '0.128700128700129']
['0.793650793650794', '0.78125', '0.813008130081301', '1.03092783505155', '0.943396226415094', '5.26315789473684', '2.4390243902439']
['1.17647058823529', '1.47058823529412', '1.2987012987013', '1.08695652173913', '1.40845070422535', '2.7027027027027', '7.69230769230769']
['0.50761421319797', '0.833333333333333', '1.16279069767442', '0.840336134453782', '2.5', '11.1111111111111', '3.44827586206897']
['1.04166666666667', '1.2987012987013', '1.72413793103448', '1.2987012987013', '1.03092783505155', '6.66666666666667', '2.56410256410256']
['0.99009900990099', '1.31578947368421', '1.28205128205128', '2', '2.7027027027027', '11.1111111111111', '7.14285714285714']
['0.793650793650794', '0.87719298245614', '1.33333333333333', '0.943396226415094', '0.714285714285714', '2', '5']
['0.775193798449612', '0.925925925925926', '0.87719298245614', '0.925925925925926', '1.08695652173913', '3.7037037037037', '3.33333333333333']
['0.645161290322581', '0.78740157480315', '0.847457627118644', '0.87719298245614', '0.840336134453782', '2.17391304347826', '8.33333333333333']
['0.769230769230769', '1.02040816326531', '0.961538461538461', '1.02040816326531', '1.31578947368421', '3.7037037037037', '4.76190476190476']
['0.943396226415094', '1.02040816326531', '0.925925925925926', '0.442477876106195', '0.471698113207547', '0.106269925611052', '0.251889168765743']
['1.13636363636364', '0.943396226415094', '1.26582278481013', '0.952380952380952', '0.719424460431655', '0.36231884057971', '0.194931773879142']
['0.757575757575758', '0.740740740740741', '1.17647058823529', '1.11111111111111', '0.934579439252336', '4.34782608695652', '2.17391304347826']
['1.26582278481013', '1.0989010989011', '1.0989010989011', '0.746268656716418', '0.649350649350649', '0.261780104712042', '0.190839694656489']
['1.08695652173913', '0.87719298245614', '1.26582278481013', '1.06382978723404', '0.943396226415094', '0.363636363636364', '0.199600798403194']
['0.65359477124183', '0.72463768115942', '2.12765957446809', '0.91743119266055', '0.884955752212389', '2.56410256410256', '12.5']
['0.75187969924812', '1.16279069767442', '1.14942528735632', '1.26582278481013', '1.92307692307692', '7.14285714285714', '2.7027027027027']
['1.0752688172043', '1.06382978723404', '1.12359550561798', '0.769230769230769', '0.75187969924812', '0.276243093922652', '0.17921146953405']
['1.16279069767442', '1.21951219512195', '1.16279069767442', '1.04166666666667', '1.01010101010101', '0.469483568075117', '0.247524752475248']
['1.05263157894737', '1.04166666666667', '0.840336134453782', '0.675675675675676', '0.746268656716418', '0.344827586206897', '0.163398692810458']
['1.12359550561798', '1.04166666666667', '1.11111111111111', '0.961538461538461', '0.826446280991736', '0.478468899521531', '0.22883295194508']
['0.87719298245614', '0.900900900900901', '1.02040816326531', '1.20481927710843', '1.44927536231884', '12.5', '6.66666666666667']
['0.892857142857143', '1.13636363636364', '1.03092783505155', '0.854700854700855', '0.746268656716418', '3.44827586206897', '5.26315789473684']
['1.17647058823529', '1.49253731343284', '2.04081632653061', '1.58730158730159', '1.53846153846154', '5.88235294117647', '9.09090909090909']
['0.952380952380952', '1.16279069767442', '1.17647058823529', '1.40845070422535', '2.04081632653061', '5.55555555555556', '2.22222222222222']
['0.91743119266055', '1.17647058823529', '1.49253731343284', '1.53846153846154', '1.19047619047619', '5.88235294117647', '3.44827586206897']
['1.03092783505155', '1.05263157894737', '1.14942528735632', '0.892857142857143', '0.757575757575758', '4.34782608695652', '10']
['0.961538461538461', '0.91743119266055', '0.833333333333333', '1.13636363636364', '1.42857142857143', '5.55555555555556', '2.7027027027027']
['0.714285714285714', '0.952380952380952', '1.03092783505155', '0.793650793650794', '1.08695652173913', '11.1111111111111', '14.2857142857143']
